Month,Group,Reason,State,Count,record_type
2025-02-01,Interpersonal,Interpersonal Relationships,NSW,11797.0,group_total
2025-02-01,Health,Health,NSW,5460.0,group_total
2025-02-01,Other,Other,NSW,6876.0,group_total
2025-02-01,Not stated,Not stated,NSW,183.0,group_total
2025-02-01,Total,Total Clients,NSW,23841.0,group_total
2025-01-01,Accommodation,Accommodation,NSW,12720.0,group_total
2025-01-01,Financial,Financial,NSW,11159.0,group_total
2025-01-01,Interpersonal,Interpersonal Relationships,NSW,11384.0,group_total
2025-01-01,Health,Health,NSW,5332.0,group_total
2025-01-01,Other,Other,NSW,6576.0,group_total
2025-01-01,Not stated,Not stated,NSW,178.0,group_total
2025-01-01,Total,Total Clients,NSW,23044.0,group_total
2024-12-01,Accommodation,Accommodation,NSW,12465.0,group_total
2024-12-01,Financial,Financial,NSW,10904.0,group_total
2024-12-01,Interpersonal,Interpersonal Relationships,NSW,11132.0,group_total
2024-12-01,Health,Health,NSW,5265.0,group_total
2024-12-01,Other,Other,NSW,6458.0,group_total
2024-12-01,Not stated,Not stated,NSW,209.0,group_total
2024-12-01,Total,Total Clients,NSW,22688.0,group_total
2024-11-01,Accommodation,Accommodation,NSW,13183.0,group_total
2024-11-01,Financial,Financial,NSW,11468.0,group_total
2024-11-01,Interpersonal,Interpersonal Relationships,NSW,11688.0,group_total
2024-11-01,Health,Health,NSW,5590.0,group_total
2024-11-01,Other,Other,NSW,6928.0,group_total
2024-11-01,Not stated,Not stated,NSW,208.0,group_total
2024-11-01,Total,Total Clients,NSW,23936.0,group_total
2024-10-01,Accommodation,Accommodation,NSW,13356.0,group_total
2024-10-01,Financial,Financial,NSW,11683.0,group_total
2024-10-01,Interpersonal,Interpersonal Relationships,NSW,11800.0,group_total
2024-10-01,Health,Health,NSW,5667.0,group_total
2024-10-01,Other,Other,NSW,7003.0,group_total
2024-10-01,Not stated,Not stated,NSW,217.0,group_total
2024-10-01,Total,Total Clients,NSW,24176.0,group_total
2024-09-01,Accommodation,Accommodation,NSW,13221.0,group_total
2024-09-01,Financial,Financial,NSW,11581.0,group_total
2024-09-01,Interpersonal,Interpersonal Relationships,NSW,11620.0,group_total
2024-09-01,Health,Health,NSW,5636.0,group_total
2024-09-01,Other,Other,NSW,6848.0,group_total
2024-09-01,Not stated,Not stated,NSW,214.0,group_total
2024-09-01,Total,Total Clients,NSW,23855.0,group_total
2024-08-01,Accommodation,Accommodation,NSW,13327.0,group_total
2024-08-01,Financial,Financial,NSW,11632.0,group_total
2024-08-01,Interpersonal,Interpersonal Relationships,NSW,11631.0,group_total
2024-08-01,Health,Health,NSW,5472.0,group_total
2024-08-01,Other,Other,NSW,6730.0,group_total
2024-08-01,Not stated,Not stated,NSW,237.0,group_total
2024-08-01,Total,Total Clients,NSW,24036.0,group_total
2024-07-01,Accommodation,Accommodation,NSW,13547.0,group_total
2024-07-01,Financial,Financial,NSW,11960.0,group_total
2024-07-01,Interpersonal,Interpersonal Relationships,NSW,11823.0,group_total
2024-07-01,Health,Health,NSW,5516.0,group_total
2024-07-01,Other,Other,NSW,6920.0,group_total
2024-07-01,Not stated,Not stated,NSW,241.0,group_total
2024-07-01,Total,Total Clients,NSW,24490.0,group_total
2024-06-01,Accommodation,Accommodation,NSW,13292.0,group_total
2024-06-01,Financial,Financial,NSW,11574.0,group_total
2024-06-01,Interpersonal,Interpersonal Relationships,NSW,11420.0,group_total
2024-06-01,Health,Health,NSW,5288.0,group_total
2024-06-01,Other,Other,NSW,6806.0,group_total
2024-06-01,Not stated,Not stated,NSW,220.0,group_total
2024-06-01,Total,Total Clients,NSW,24024.0,group_total
2024-05-01,Accommodation,Accommodation,NSW,13661.0,group_total
2024-05-01,Financial,Financial,NSW,12071.0,group_total
2024-05-01,Interpersonal,Interpersonal Relationships,NSW,11719.0,group_total
2024-05-01,Health,Health,NSW,5561.0,group_total
2024-05-01,Other,Other,NSW,6955.0,group_total
2024-05-01,Not stated,Not stated,NSW,224.0,group_total
2024-05-01,Total,Total Clients,NSW,24616.0,group_total
2024-04-01,Accommodation,Accommodation,NSW,13338.0,group_total
2024-04-01,Financial,Financial,NSW,11657.0,group_total
2024-04-01,Interpersonal,Interpersonal Relationships,NSW,11232.0,group_total
2024-04-01,Health,Health,NSW,5320.0,group_total
2024-04-01,Other,Other,NSW,6758.0,group_total
2024-04-01,Not stated,Not stated,NSW,264.0,group_total
2024-04-01,Total,Total Clients,NSW,24032.0,group_total
2024-03-01,Accommodation,Accommodation,NSW,13207.0,group_total
2024-03-01,Financial,Financial,NSW,11764.0,group_total
2024-03-01,Interpersonal,Interpersonal Relationships,NSW,11228.0,group_total
2024-03-01,Health,Health,NSW,5315.0,group_total
2024-03-01,Other,Other,NSW,6540.0,group_total
2024-03-01,Not stated,Not stated,NSW,236.0,group_total
2024-03-01,Total,Total Clients,NSW,23938.0,group_total
2024-02-01,Accommodation,Accommodation,NSW,13193.0,group_total
2024-02-01,Financial,Financial,NSW,11638.0,group_total
