Month,Client_Group,State,Count
2025-03-01,At risk of homelessness,NSW,10904.0
2025-02-01,Indigenous,NSW,7886.0
2025-02-01,FDV,NSW,8865.0
2025-02-01,Mental health,NSW,8193.0
2025-02-01,Drug or alcohol issues,NSW,1785.0
2025-02-01,Financial assistance for accommodation,NSW,162.0
2025-02-01,Nights in emergency accommodation,NSW,46557.0
2025-02-01,Emergency accommodation,NSW,2312.0
2025-02-01,Homeless,NSW,12358.0
2025-02-01,At risk of homelessness,NSW,10848.0
2025-01-01,Indigenous,NSW,7644.0
2025-01-01,FDV,NSW,8613.0
2025-01-01,Mental health,NSW,8042.0
2025-01-01,Drug or alcohol issues,NSW,1768.0
2025-01-01,Financial assistance for accommodation,NSW,146.0
2025-01-01,Nights in emergency accommodation,NSW,50755.0
2025-01-01,Emergency accommodation,NSW,2266.0
2025-01-01,Homeless,NSW,12191.0
2025-01-01,At risk of homelessness,NSW,10293.0
2024-12-01,Indigenous,NSW,7466.0
2024-12-01,FDV,NSW,8382.0
2024-12-01,Mental health,NSW,7884.0
2024-12-01,Drug or alcohol issues,NSW,1743.0
2024-12-01,Financial assistance for accommodation,NSW,187.0
2024-12-01,Nights in emergency accommodation,NSW,50481.0
2024-12-01,Emergency accommodation,NSW,2278.0
2024-12-01,Homeless,NSW,11874.0
2024-12-01,At risk of homelessness,NSW,10269.0
2024-11-01,Indigenous,NSW,7908.0
2024-11-01,FDV,NSW,8798.0
2024-11-01,Mental health,NSW,8368.0
2024-11-01,Drug or alcohol issues,NSW,1880.0
2024-11-01,Financial assistance for accommodation,NSW,178.0
2024-11-01,Nights in emergency accommodation,NSW,49671.0
2024-11-01,Emergency accommodation,NSW,2324.0
2024-11-01,Homeless,NSW,12516.0
2024-11-01,At risk of homelessness,NSW,10802.0
2024-10-01,Indigenous,NSW,7973.0
2024-10-01,FDV,NSW,8831.0
2024-10-01,Mental health,NSW,8410.0
2024-10-01,Drug or alcohol issues,NSW,1898.0
2024-10-01,Financial assistance for accommodation,NSW,171.0
2024-10-01,Nights in emergency accommodation,NSW,52647.0
2024-10-01,Emergency accommodation,NSW,2408.0
2024-10-01,Homeless,NSW,12705.0
2024-10-01,At risk of homelessness,NSW,10874.0
2024-09-01,Indigenous,NSW,7720.0
2024-09-01,FDV,NSW,8763.0
2024-09-01,Mental health,NSW,8353.0
2024-09-01,Drug or alcohol issues,NSW,1855.0
2024-09-01,Financial assistance for accommodation,NSW,156.0
2024-09-01,Nights in emergency accommodation,NSW,50064.0
2024-09-01,Emergency accommodation,NSW,2355.0
2024-09-01,Homeless,NSW,12696.0
2024-09-01,At risk of homelessness,NSW,10561.0
2024-08-01,Indigenous,NSW,7788.0
2024-08-01,FDV,NSW,8800.0
2024-08-01,Mental health,NSW,8295.0
2024-08-01,Drug or alcohol issues,NSW,1787.0
2024-08-01,Financial assistance for accommodation,NSW,166.0
2024-08-01,Nights in emergency accommodation,NSW,50048.0
2024-08-01,Emergency accommodation,NSW,2289.0
2024-08-01,Homeless,NSW,12578.0
2024-08-01,At risk of homelessness,NSW,10851.0
2024-07-01,Indigenous,NSW,7975.0
2024-07-01,FDV,NSW,8808.0
2024-07-01,Mental health,NSW,8449.0
2024-07-01,Drug or alcohol issues,NSW,1800.0
2024-07-01,Financial assistance for accommodation,NSW,181.0
2024-07-01,Nights in emergency accommodation,NSW,50367.0
2024-07-01,Emergency accommodation,NSW,2316.0
2024-07-01,Homeless,NSW,12907.0
2024-07-01,At risk of homelessness,NSW,10940.0
2024-06-01,Indigenous,NSW,7802.0
2024-06-01,FDV,NSW,8508.0
2024-06-01,Mental health,NSW,8130.0
2024-06-01,Drug or alcohol issues,NSW,1703.0
2024-06-01,Financial assistance for accommodation,NSW,146.0
2024-06-01,Nights in emergency accommodation,NSW,48776.0
2024-06-01,Emergency accommodation,NSW,2223.0
2024-06-01,Homeless,NSW,12661.0
2024-06-01,At risk of homelessness,NSW,10687.0
2024-05-01,Indigenous,NSW,8058.0
2024-05-01,FDV,NSW,8680.0
2024-05-01,Mental health,NSW,8507.0
2024-05-01,Drug or alcohol issues,NSW,1837.0
2024-05-01,Financial assistance for accommodation,NSW,185.0
2024-05-01,Nights in emergency accommodation,NSW,51375.0
2024-05-01,Emergency accommodation,NSW,2352.0
2024-05-01,Homeless,NSW,12806.0
2024-05-01,At risk of homelessness,NSW,11173.0
2024-04-01,Indigenous,NSW,7798.0
2024-04-01,FDV,NSW,8233.0
2024-04-01,Mental health,NSW,8242.0
2024-04-01,Drug or alcohol issues,NSW,1736.0
2024-04-01,Financial assistance for accommodation,NSW,163.0
2024-04-01,Nights in emergency accommodation,NSW,49036.0
2024-04-01,Emergency accommodation,NSW,2338.0
2024-04-01,Homeless,NSW,12496.0
