Year,Major cities,Inner/Outer regional,Remote/Very remote
2017–18,596.2,722.0,732.5
2018–19,607.9,742.4,816.0
2019–20,607.1,737.4,938.2
2020–21,624.8,745.9,937.2
2021–22,628.1,730.9,913.0
2022–23,666.2,738.9,927.3
2023–24,706.0,723.0,1036.5
2024–25(b),735.8,776.3,1021.7
